store_id,item_id,wm_yr_wk,sell_price
SAMPLE_CA_1,SAMPLE_ITEM_001,201553,3.99
SAMPLE_CA_1,SAMPLE_ITEM_001,201601,4.03
SAMPLE_CA_1,SAMPLE_ITEM_001,201602,4.07
SAMPLE_CA_1,SAMPLE_ITEM_001,201603,4.11
SAMPLE_CA_1,SAMPLE_ITEM_001,201604,4.15
SAMPLE_TX_1,SAMPLE_ITEM_001,201553,3.99
SAMPLE_TX_1,SAMPLE_ITEM_001,201601,4.03
SAMPLE_TX_1,SAMPLE_ITEM_001,201602,4.07
SAMPLE_TX_1,SAMPLE_ITEM_001,201603,4.11
SAMPLE_TX_1,SAMPLE_ITEM_001,201604,4.15
SAMPLE_CA_1,SAMPLE_ITEM_002,201553,5.49
SAMPLE_CA_1,SAMPLE_ITEM_002,201601,5.54
SAMPLE_CA_1,SAMPLE_ITEM_002,201602,5.6
SAMPLE_CA_1,SAMPLE_ITEM_002,201603,5.65
SAMPLE_CA_1,SAMPLE_ITEM_002,201604,5.71
SAMPLE_TX_1,SAMPLE_ITEM_002,201553,5.49
SAMPLE_TX_1,SAMPLE_ITEM_002,201601,5.54
SAMPLE_TX_1,SAMPLE_ITEM_002,201602,5.6
SAMPLE_TX_1,SAMPLE_ITEM_002,201603,5.65
SAMPLE_TX_1,SAMPLE_ITEM_002,201604,5.71
SAMPLE_CA_1,SAMPLE_ITEM_003,201553,8.99
SAMPLE_CA_1,SAMPLE_ITEM_003,201601,9.08
SAMPLE_CA_1,SAMPLE_ITEM_003,201602,9.17
SAMPLE_CA_1,SAMPLE_ITEM_003,201603,9.26
SAMPLE_CA_1,SAMPLE_ITEM_003,201604,9.35
SAMPLE_TX_1,SAMPLE_ITEM_003,201553,8.99
SAMPLE_TX_1,SAMPLE_ITEM_003,201601,9.08
SAMPLE_TX_1,SAMPLE_ITEM_003,201602,9.17
SAMPLE_TX_1,SAMPLE_ITEM_003,201603,9.26
SAMPLE_TX_1,SAMPLE_ITEM_003,201604,9.35
SAMPLE_CA_1,SAMPLE_ITEM_004,201553,6.75
SAMPLE_CA_1,SAMPLE_ITEM_004,201601,6.82
SAMPLE_CA_1,SAMPLE_ITEM_004,201602,6.88
SAMPLE_CA_1,SAMPLE_ITEM_004,201603,6.95
SAMPLE_CA_1,SAMPLE_ITEM_004,201604,7.02
SAMPLE_TX_1,SAMPLE_ITEM_004,201553,6.75
SAMPLE_TX_1,SAMPLE_ITEM_004,201601,6.82
SAMPLE_TX_1,SAMPLE_ITEM_004,201602,6.88
SAMPLE_TX_1,SAMPLE_ITEM_004,201603,6.95
SAMPLE_TX_1,SAMPLE_ITEM_004,201604,7.02
