DateKey,FullDate,ProductKey,ProductID,ProductName,CategoryID,StoreKey,StoreID,StateID,ModelID,ModelName,HorizonDays,ActualDemand,ActualRevenue,ForecastDemand,LowerBound,UpperBound,ForecastRevenue,ForecastBias,ForecastConfidence
20160129,2016-01-29,2,SAMPLE_ITEM_001,SAMPLE_ITEM_001,SAMPLE_FOODS_1,2,SAMPLE_CA_1,CA,XGBOOST,XGBoost,7.0,0.0000,0E-7,3.944927,2.485717,5.404137,16.3714,-0.399315,0.628858
20160129,2016-01-29,2,SAMPLE_ITEM_001,SAMPLE_ITEM_001,SAMPLE_FOODS_1,3,SAMPLE_TX_1,TX,XGBOOST,XGBoost,7.0,0.0000,0E-7,4.086040,2.626830,5.545250,16.9571,-0.399315,0.635401
20160129,2016-01-29,3,SAMPLE_ITEM_002,SAMPLE_ITEM_002,SAMPLE_FOODS_1,2,SAMPLE_CA_1,CA,XGBOOST,XGBoost,7.0,0.0000,0E-7,4.711145,3.251935,6.170355,26.9006,-0.399315,0.661811
20160129,2016-01-29,3,SAMPLE_ITEM_002,SAMPLE_ITEM_002,SAMPLE_FOODS_1,3,SAMPLE_TX_1,TX,XGBOOST,XGBoost,7.0,0.0000,0E-7,5.303044,3.843834,6.762254,30.2804,-0.399315,0.683519
20160129,2016-01-29,4,SAMPLE_ITEM_003,SAMPLE_ITEM_003,SAMPLE_HOUSEHOLD_1,2,SAMPLE_CA_1,CA,XGBOOST,XGBoost,7.0,0.0000,0E-7,3.750699,2.291489,5.209909,35.0690,-0.399315,0.619458
20160129,2016-01-29,4,SAMPLE_ITEM_003,SAMPLE_ITEM_003,SAMPLE_HOUSEHOLD_1,3,SAMPLE_TX_1,TX,XGBOOST,XGBoost,7.0,0.0000,0E-7,4.023911,2.564701,5.483121,37.6236,-0.399315,0.632549
20160129,2016-01-29,5,SAMPLE_ITEM_004,SAMPLE_ITEM_004,SAMPLE_HOBBIES_1,2,SAMPLE_CA_1,CA,XGBOOST,XGBoost,7.0,0.0000,0E-7,5.843026,4.383816,7.302236,41.0180,-0.399315,0.701026
20160129,2016-01-29,5,SAMPLE_ITEM_004,SAMPLE_ITEM_004,SAMPLE_HOBBIES_1,3,SAMPLE_TX_1,TX,XGBOOST,XGBoost,7.0,0.0000,0E-7,5.174930,3.715720,6.634140,36.3280,-0.399315,0.679060
20160130,2016-01-30,2,SAMPLE_ITEM_001,SAMPLE_ITEM_001,SAMPLE_FOODS_1,2,SAMPLE_CA_1,CA,XGBOOST,XGBoost,7.0,0.0000,0E-7,3.010552,0.946917,5.074186,12.4938,-0.399315,0.492829
20160130,2016-01-30,2,SAMPLE_ITEM_001,SAMPLE_ITEM_001,SAMPLE_FOODS_1,3,SAMPLE_TX_1,TX,XGBOOST,XGBoost,7.0,0.0000,0E-7,2.122796,0.059161,4.186430,8.8096,-0.399315,0.430727
