DateKey,FullDate,ScenarioID,ScenarioName,ScenarioType,ParameterName,BaselineValue,ScenarioValue,ProductID,WarehouseID,BaselineDemand,ScenarioDemand,BaselineRevenue,ScenarioRevenue,BaselineInventory,ScenarioInventory,BaselineStockoutProbability,ScenarioStockoutProbability,BaselineOrderQuantity,ScenarioOrderQuantity,BaselinePurchaseCost,ScenarioPurchaseCost,BaselineTransportationCost,ScenarioTransportationCost,BaselineHoldingCost,ScenarioHoldingCost,BaselineTotalCost,ScenarioTotalCost,BaselineProfit,ScenarioProfit,BaselineRevenueProtected,ScenarioRevenueProtected,RevenueProtected
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_001,SYN_WH_01,44.697383,41.121592,182.0461,184.2306,60.000000,60.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,182.0461,184.2306,0.0000,0.0000,0.0000
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_001,SYN_WH_02,44.697383,41.121592,182.0461,184.2306,15.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,182.0461,184.2306,0.0000,0.0000,0.0000
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_001,SYN_WH_03,44.697383,41.121592,182.0461,184.2306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,182.0461,184.2306,0.0000,0.0000,0.0000
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_001,SYN_WH_04,44.697383,41.121592,182.0461,184.2306,0.000000,0.000000,1.000000,1.000000,46.000000,46.000000,96.6414,96.6414,119.7055,119.7055,3.0514,3.0514,219.3983,219.3983,-37.3522,-35.1677,184.6580,184.6580,184.6580
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_001,SYN_WH_05,44.697383,41.121592,182.0461,184.2306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,182.0461,184.2306,0.0000,0.0000,0.0000
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_002,SYN_WH_01,61.673725,56.739827,345.4610,349.6065,133.000000,133.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,345.4610,349.6065,0.0000,0.0000,0.0000
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_002,SYN_WH_02,61.673725,56.739827,345.4610,349.6065,51.000000,51.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,345.4610,349.6065,0.0000,0.0000,0.0000
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_002,SYN_WH_03,61.673725,56.739827,345.4610,349.6065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,345.4610,349.6065,0.0000,0.0000,0.0000
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_002,SYN_WH_04,61.673725,56.739827,345.4610,349.6065,0.000000,0.000000,1.000000,1.000000,63.000000,63.000000,162.6219,162.6219,133.0404,133.0404,3.6874,3.6874,299.3497,299.3497,46.1113,50.2568,349.8042,349.8042,349.8042
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_002,SYN_WH_05,61.673725,56.739827,345.4610,349.6065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,345.4610,349.6065,0.0000,0.0000,0.0000
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_003,SYN_WH_01,57.738348,53.119280,529.8318,536.1898,143.000000,143.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,529.8318,536.1898,0.0000,0.0000,0.0000
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_003,SYN_WH_02,57.738348,53.119280,529.8318,536.1898,59.000000,59.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,529.8318,536.1898,0.0000,0.0000,0.0000
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_003,SYN_WH_03,57.738348,53.119280,529.8318,536.1898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,529.8318,536.1898,0.0000,0.0000,0.0000
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_003,SYN_WH_04,57.738348,53.119280,529.8318,536.1898,0.000000,0.000000,1.000000,1.000000,59.000000,59.000000,221.1025,221.1025,190.3982,190.3982,2.3022,2.3022,413.8029,413.8029,116.0289,122.3869,536.2549,536.2549,536.2549
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_003,SYN_WH_05,57.738348,53.119280,529.8318,536.1898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,529.8318,536.1898,0.0000,0.0000,0.0000
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_004,SYN_WH_01,67.531391,62.128880,465.1948,470.7771,191.000000,191.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,465.1948,470.7771,0.0000,0.0000,0.0000
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_004,SYN_WH_02,67.531391,62.128880,465.1948,470.7771,73.000000,73.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,465.1948,470.7771,0.0000,0.0000,0.0000
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_004,SYN_WH_03,67.531391,62.128880,465.1948,470.7771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,465.1948,470.7771,0.0000,0.0000,0.0000
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_004,SYN_WH_04,67.531391,62.128880,465.1948,470.7771,0.000000,0.000000,1.000000,1.000000,69.000000,69.000000,298.0248,298.0248,179.4497,179.4497,2.6924,2.6924,480.1669,480.1669,-14.9721,-9.3898,469.4741,469.4741,469.4741
20160128,2016-01-28,price_up,Price Increase 10 Percent,PRICE_CHANGE,price_multiplier,1.000000,1.100000,SAMPLE_ITEM_004,SYN_WH_05,67.531391,62.128880,465.1948,470.7771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,465.1948,470.7771,0.0000,0.0000,0.0000
20160128,2016-01-28,demand_up,Demand Increase 20 Percent,DEMAND_CHANGE,demand_multiplier,1.000000,1.200000,SAMPLE_ITEM_001,SYN_WH_01,44.697383,53.636860,182.0461,218.4553,60.000000,60.000000,0.000000,0.100000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,182.0461,218.4553,0.0000,0.0000,0.0000
20160128,2016-01-28,demand_up,Demand Increase 20 Percent,DEMAND_CHANGE,demand_multiplier,1.000000,1.200000,SAMPLE_ITEM_001,SYN_WH_02,44.697383,53.636860,182.0461,218.4553,15.000000,15.000000,0.000000,0.100000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,182.0461,218.4553,0.0000,0.0000,0.0000
20160128,2016-01-28,demand_up,Demand Increase 20 Percent,DEMAND_CHANGE,demand_multiplier,1.000000,1.200000,SAMPLE_ITEM_001,SYN_WH_03,44.697383,53.636860,182.0461,218.4553,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,182.0461,218.4553,0.0000,0.0000,0.0000
