DateKey,FullDate,ProductKey,ProductID,ProductName,CategoryID,WarehouseKey,WarehouseID,WarehouseName,CurrentInventory,SafetyStock,ReorderPoint,ProjectedInventory,DaysOfSupply,StockoutProbability,RiskClassification,CapacityUnits,CurrentUtilization,InventoryValue
20160128,2016-01-28,2,SAMPLE_ITEM_001,SAMPLE_ITEM_001,SAMPLE_FOODS_1,12,SYN_WH_01,Synthetic Distribution Center 01,60.0000,0.5677,15.4669,15.3026,40.270835,0.000000,Healthy,40925.0000,0.629540,120.0000
20160128,2016-01-28,2,SAMPLE_ITEM_001,SAMPLE_ITEM_001,SAMPLE_FOODS_1,13,SYN_WH_02,Synthetic Distribution Center 02,15.0000,0.5595,15.4586,15.3026,40.270835,0.000000,At Risk,53249.0000,0.448805,30.0000
20160128,2016-01-28,2,SAMPLE_ITEM_001,SAMPLE_ITEM_001,SAMPLE_FOODS_1,14,SYN_WH_03,Synthetic Distribution Center 03,0.0000,0.6205,15.5196,55.3026,67.118058,0.000000,Critical,67824.0000,0.713349,0.0000
20160128,2016-01-28,2,SAMPLE_ITEM_001,SAMPLE_ITEM_001,SAMPLE_FOODS_1,15,SYN_WH_04,Synthetic Distribution Center 04,0.0000,0.6413,15.5404,-44.6974,0.000000,1.000000,Critical,32161.0000,0.404436,0.0000
20160128,2016-01-28,2,SAMPLE_ITEM_001,SAMPLE_ITEM_001,SAMPLE_FOODS_1,16,SYN_WH_05,Synthetic Distribution Center 05,0.0000,0.7770,15.6761,45.3026,60.406252,0.000000,Critical,43254.0000,0.494304,0.0000
20160128,2016-01-28,3,SAMPLE_ITEM_002,SAMPLE_ITEM_002,SAMPLE_FOODS_1,12,SYN_WH_01,Synthetic Distribution Center 01,133.0000,0.6865,26.7265,71.3263,64.695324,0.000000,Excess,40925.0000,0.629540,365.7500
20160128,2016-01-28,3,SAMPLE_ITEM_002,SAMPLE_ITEM_002,SAMPLE_FOODS_1,13,SYN_WH_02,Synthetic Distribution Center 02,51.0000,0.6765,26.7165,64.3263,61.290307,0.000000,Excess,53249.0000,0.448805,140.2500
20160128,2016-01-28,3,SAMPLE_ITEM_002,SAMPLE_ITEM_002,SAMPLE_FOODS_1,14,SYN_WH_03,Synthetic Distribution Center 03,0.0000,0.7502,26.7902,58.3263,58.371721,0.000000,Critical,67824.0000,0.713349,0.0000
20160128,2016-01-28,3,SAMPLE_ITEM_002,SAMPLE_ITEM_002,SAMPLE_FOODS_1,15,SYN_WH_04,Synthetic Distribution Center 04,0.0000,0.7754,26.8154,-61.6737,0.000000,1.000000,Critical,32161.0000,0.404436,0.0000
20160128,2016-01-28,3,SAMPLE_ITEM_002,SAMPLE_ITEM_002,SAMPLE_FOODS_1,16,SYN_WH_05,Synthetic Distribution Center 05,0.0000,0.9394,26.9794,88.3263,72.964651,0.000000,Critical,43254.0000,0.494304,0.0000
20160128,2016-01-28,4,SAMPLE_ITEM_003,SAMPLE_ITEM_003,SAMPLE_HOUSEHOLD_1,12,SYN_WH_01,Synthetic Distribution Center 01,143.0000,0.6197,21.1489,85.2617,74.300729,0.000000,Excess,40925.0000,0.629540,500.5000
20160128,2016-01-28,4,SAMPLE_ITEM_003,SAMPLE_ITEM_003,SAMPLE_HOUSEHOLD_1,13,SYN_WH_02,Synthetic Distribution Center 02,59.0000,0.6107,21.1399,76.2617,69.624459,0.000000,Excess,53249.0000,0.448805,206.5000
20160128,2016-01-28,4,SAMPLE_ITEM_003,SAMPLE_ITEM_003,SAMPLE_HOUSEHOLD_1,14,SYN_WH_03,Synthetic Distribution Center 03,0.0000,0.6773,21.2064,102.2617,83.133683,0.000000,Critical,67824.0000,0.713349,0.0000
20160128,2016-01-28,4,SAMPLE_ITEM_003,SAMPLE_ITEM_003,SAMPLE_HOUSEHOLD_1,15,SYN_WH_04,Synthetic Distribution Center 04,0.0000,0.7000,21.2292,-57.7383,0.000000,1.000000,Critical,32161.0000,0.404436,0.0000
20160128,2016-01-28,4,SAMPLE_ITEM_003,SAMPLE_ITEM_003,SAMPLE_HOUSEHOLD_1,16,SYN_WH_05,Synthetic Distribution Center 05,0.0000,0.8481,21.3773,92.2617,77.937827,0.000000,Critical,43254.0000,0.494304,0.0000
20160128,2016-01-28,5,SAMPLE_ITEM_004,SAMPLE_ITEM_004,SAMPLE_HOBBIES_1,12,SYN_WH_01,Synthetic Distribution Center 01,191.0000,0.5500,24.5611,123.4686,84.849443,0.000000,Excess,40925.0000,0.629540,811.7500
20160128,2016-01-28,5,SAMPLE_ITEM_004,SAMPLE_ITEM_004,SAMPLE_HOBBIES_1,13,SYN_WH_02,Synthetic Distribution Center 02,73.0000,0.5420,24.5531,95.4686,72.410781,0.000000,Excess,53249.0000,0.448805,310.2500
20160128,2016-01-28,5,SAMPLE_ITEM_004,SAMPLE_ITEM_004,SAMPLE_HOBBIES_1,14,SYN_WH_03,Synthetic Distribution Center 03,0.0000,0.6010,24.6122,112.4686,79.962826,0.000000,Critical,67824.0000,0.713349,0.0000
20160128,2016-01-28,5,SAMPLE_ITEM_004,SAMPLE_ITEM_004,SAMPLE_HOBBIES_1,15,SYN_WH_04,Synthetic Distribution Center 04,0.0000,0.6212,24.6324,-67.5314,0.000000,1.000000,Critical,32161.0000,0.404436,0.0000
20160128,2016-01-28,5,SAMPLE_ITEM_004,SAMPLE_ITEM_004,SAMPLE_HOBBIES_1,16,SYN_WH_05,Synthetic Distribution Center 05,0.0000,0.7527,24.7638,112.4686,79.962826,0.000000,Critical,43254.0000,0.494304,0.0000
